x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
3,1,6,6,8,8,67,67,1.706,0,0,84,161,0,
4,1,6,6,8,8,67,67,1.706,0,0,120,197,0,
5,1,6,6,8,8,67,67,1.779,0,0,156,233,0,
6,1,6,6,8,8,67,67,1.706,0,0,192,269,0,
7,1,6,6,8,8,67,67,1.721,0,0,228,305,0,
8,1,6,6,8,8,67,67,1.736,0,0,264,341,0,
1,1,6,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,7,8,8,67,67,1.55,0,0,54,257,0,
3,1,6,7,8,8,67,67,1.706,0,0,96,173,0,
4,1,6,7,8,8,67,67,1.706,0,0,138,215,0,
5,1,6,7,8,8,67,67,1.779,0,0,180,257,0,
6,1,6,7,8,8,67,67,1.706,0,0,222,299,0,
7,1,6,7,8,8,67,67,1.721,0,0,264,341,0,
8,1,6,7,8,8,67,67,1.736,0,0,306,383,0,
1,1,6,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,6,8,8,8,67,67,1.55,0,0,60,281,0,
3,1,6,8,8,8,67,67,1.706,0,0,108,185,0,
4,1,6,8,8,8,67,67,1.706,0,0,156,233,0,
5,1,6,8,8,8,67,67,1.779,0,0,204,281,0,
6,1,6,8,8,8,67,67,1.706,0,0,252,329,0,
7,1,6,8,8,8,67,67,1.721,0,0,300,377,0,
8,1,6,8,8,8,67,67,1.736,0,0,348,425,0,
1,1,7,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,1,8,8,67,67,1.55,0,0,19,117,0,
3,1,7,1,8,8,67,67,1.706,0,0,26,103,0,
4,1,7,1,8,8,67,67,1.706,0,0,33,110,0,
5,1,7,1,8,8,67,67,1.779,0,0,40,117,0,
6,1,7,1,8,8,67,67,1.706,0,0,47,124,0,
7,1,7,1,8,8,67,67,1.721,0,0,54,131,0,
8,1,7,1,8,8,67,67,1.736,0,0,61,138,0,
1,1,7,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,2,8,8,67,67,1.55,0,0,26,145,0,
3,1,7,2,8,8,67,67,1.706,0,0,40,117,0,
4,1,7,2,8,8,67,67,1.706,0,0,54,131,0,
5,1,7,2,8,8,67,67,1.779,0,0,68,145,0,
6,1,7,2,8,8,67,67,1.706,0,0,82,159,0,
7,1,7,2,8,8,67,67,1.721,0,0,96,173,0,
8,1,7,2,8,8,67,67,1.736,0,0,110,187,0,
1,1,7,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,3,8,8,67,67,1.55,0,0,33,173,0,
3,1,7,3,8,8,67,67,1.706,0,0,54,131,0,
4,1,7,3,8,8,67,67,1.706,0,0,75,152,0,
5,1,7,3,8,8,67,67,1.779,0,0,96,173,0,
6,1,7,3,8,8,67,67,1.706,0,0,117,194,0,
7,1,7,3,8,8,67,67,1.721,0,0,138,215,0,
8,1,7,3,8,8,67,67,1.736,0,0,159,236,0,
1,1,7,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,4,8,8,67,67,1.55,0,0,40,201,0,
3,1,7,4,8,8,67,67,1.706,0,0,68,145,0,
4,1,7,4,8,8,67,67,1.706,0,0,96,173,0,
5,1,7,4,8,8,67,67,1.779,0,0,124,201,0,
6,1,7,4,8,8,67,67,1.706,0,0,152,229,0,
7,1,7,4,8,8,67,67,1.721,0,0,180,257,0,
8,1,7,4,8,8,67,67,1.736,0,0,208,285,0,
1,1,7,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,5,8,8,67,67,1.55,0,0,47,229,0,
3,1,7,5,8,8,67,67,1.706,0,0,82,159,0,
4,1,7,5,8,8,67,67,1.706,0,0,117,194,0,
5,1,7,5,8,8,67,67,1.779,0,0,152,229,0,
6,1,7,5,8,8,67,67,1.706,0,0,187,264,0,
7,1,7,5,8,8,67,67,1.721,0,0,222,299,0,
8,1,7,5,8,8,67,67,1.736,0,0,257,334,0,
1,1,7,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,6,8,8,67,67,1.55,0,0,54,257,0,
3,1,7,6,8,8,67,67,1.706,0,0,96,173,0,
4,1,7,6,8,8,67,67,1.706,0,0,138,215,0,
5,1,7,6,8,8,67,67,1.779,0,0,180,257,0,
6,1,7,6,8,8,67,67,1.706,0,0,222,299,0,
7,1,7,6,8,8,67,67,1.721,0,0,264,341,0,
8,1,7,6,8,8,67,67,1.736,0,0,306,383,0,
1,1,7,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,7,7,8,8,67,67,1.55,0,0,61,285,0,
3,1,7,7,8,8,67,67,1.706,0,0,110,187,0,
4,1,7,7,8,8,67,67,1.706,0,0,159,236,0,
